,category_number,category_name
231,6000097433,두유
232,6000097476,슬라이스치즈
233,6000097477,슈레드/피자치즈
234,6000097478,파마산/가루치즈
235,6000097479,크림치즈
236,6000097480,과일/스낵치즈
237,6000097481,어린이치즈
238,6000097482,기타 자연치즈
239,6000097491,버터/마가린
240,6000097492,생크림/휘핑크림
241,6000097493,연유
242,6000097494,기타유제품/크림
243,6000097602,분유
244,6000097603,유아두유
245,6000097604,이유식
246,6000097605,아기과자/간식
247,6000097606,아기음료
248,6000097607,기타 유아식
249,6000097651,햄
250,6000097652,비엔나/반찬소시지
251,6000097653,베이컨
252,6000097654,쌈무
253,6000097655,단무지/우엉
254,6000097656,어묵
255,6000097658,맛살/크래미
256,6000097669,유부/유부초밥
257,6000097670,떡국떡/떡볶이떡
258,6000097671,묵
259,6000097672,곤약
260,6000097673,낫또
261,6000097684,국/탕/찌개
262,6000097685,볶음밥/덮밥
263,6000097686,죽/이유식
264,6000097687,스프
265,6000097702,만두/전병
266,6000097703,만두피
267,6000097704,돈까스/커틀릿
268,6000097705,치킨너겟/텐더/닭꼬치
269,6000097706,감자튀김
270,6000097707,치즈스틱/기타튀김
271,6000097751,떡갈비/함박스테이크
272,6000097752,동그랑땡/완자
273,6000097753,전
274,6000097754,기타 구이
275,6000097766,피자
276,6000097767,파스타/리조또
277,6000097768,핫도그
278,6000097769,브리또/타코
279,6000097770,떡볶이
280,6000097771,순대/기타 분식
281,6000097781,탕수육/깐풍기/중식
282,6000097782,오꼬노미야끼/일식
283,6000097783,월남쌈/동남아요리
284,6000140190,퓨전/기타요리
285,6000097796,훈제오리
286,6000097797,족발/보쌈/곱창/막창
287,6000097798,닭갈비/불고기/볶음/찜
288,6000097799,육포/기타가공육
289,6000097811,케익
290,6000097813,기타 디저트
291,6000097522,포기/배추김치
292,6000097523,무/열무김치
293,6000097524,물김치
294,6000097525,갓김치/기타김치
295,6000097538,메인요리
296,6000097539,밑반찬
297,6000097541,아이반찬
298,6000143208,젓갈
299,6000097570,한식
300,6000097571,양식
301,6000097572,중식
302,6000097573,일식
303,6000097574,동남아식
304,6000097575,퓨전/기타
305,6000097586,김밥/초밥
306,6000097587,도시락
307,6000097588,튀김/구이/기타델리
308,6000157884,매장 즉석조리식품
309,6000096324,생수
310,6000096325,탄산수
311,6000096339,콜라
312,6000096340,사이다
313,6000096341,환타
314,6000096342,기타 탄산음료
315,6000096369,오렌지/감귤주스
316,6000096370,사과/배주스
317,6000096371,포도/베리/석류주스
318,6000096372,망고/자몽주스
319,6000096373,파인애플/코코넛주스
320,6000096374,토마토/당근주스
321,6000096375,매실/알로에주스
322,6000096376,기타 과일/야채음료
323,6000096401,스포츠/이온음료
324,6000096403,비타민/식이섬유음료
325,6000096405,숙취해소음료
326,6000096417,에너지 음료
327,6000096418,소화제 드링크
328,6000096419,홍초/음용식초
329,6000096429,식혜/수정과
330,6000096430,곡물음료
331,6000096431,차/티음료
332,6000096432,꿀/한방음료
333,6000096433,초코음료
334,6000096434,기타 음료
335,6000096330,음료선물세트
336,6000096444,약주
337,6000096445,과실주
338,6000096446,탁주
339,6000096447,리큐르
340,6000097428,전통소주
341,6000096448,기타 주류
342,6000096449,전통주세트
343,6000141490,와인
344,6000141489,양주
345,6000096332,무알콜맥주/칵테일
346,6000096333,어린이 음료
347,6000096474,일반커피믹스
348,6000096475,아이스커피믹스
349,6000096476,블랙커피믹스
350,6000096477,커피프림
351,6000096489,홀빈
352,6000096490,분쇄원두
353,6000096504,캡슐커피
354,6000096505,드립백/티백커피
355,6000096506,더치커피
356,6000096519,파우더
357,6000096520,시럽/베이스
358,6000096522,타피오카/기타재료
359,6000096463,커피음료
360,6000096534,녹차
361,6000096535,보리차/둥글레차
362,6000096536,옥수수차/기타
363,6000096549,홍차
364,6000096550,밀크티
365,6000096551,아이스티
366,6000096564,카모마일/루이보스
367,6000096565,히비스커스/페퍼민트
368,6000096566,자스민/기타허브차
369,6000096567,국화/아카시아차/꽃차
370,6000096568,보이차
371,6000096569,마테차
372,6000096579,율무/곡물/견과차
373,6000096580,유자차/과실차
374,6000096581,생강/한차/전통차
375,6000096468,코코아/핫초코
376,6000096594,커피 선물세트
377,6000096595,차 선물세트
378,6000097148,일반라면
379,6000097149,짜장라면
380,6000097150,비빔면
381,6000097151,볶음면/기타
382,6000097152,컵라면
383,6000097164,국수/칼국수/우동
384,6000097165,짬뽕/짜장면
385,6000097166,냉면/비빔면/쫄면
386,6000097167,파스타
387,6000097168,기타 면요리
388,6000097180,파스타면
389,6000097181,소면/중면
390,6000097182,우동면
391,6000097183,칼국수면
392,6000097184,냉면/메밀면
393,6000097185,당면
394,6000097186,라이스페이퍼/또띠아
395,6000097187,쫄면/쌀국수면/기타면
396,6000097196,즉석밥
397,6000097197,컵밥
398,6000097227,카레
399,6000097228,짜장
400,6000097229,덮밥소스
401,6000097231,후리가케/밥양념
402,6000097232,기타 즉석요리
403,6000097381,참치/연어통조림
404,6000097382,고등어/꽁치통조림
405,6000097383,골뱅이/수산통조림
406,6000097384,스팸/통조림햄
407,6000097385,닭가슴살/육류통조림
408,6000097306,황도/과일통조림
409,6000097308,옥수수콘
410,6000097311,콩/팥통조림
411,6000097313,피클/기타통조림
412,6000097140,통조림선물세트
413,6000095604,간장
414,6000095605,고추장/초장
415,6000095606,고춧가루
416,6000095607,된장
417,6000095608,쌈장
418,6000095609,고기/찌개양념
419,6000095610,김치양념
420,6000095611,다진마늘/생강/채소분말
421,6000095612,기타 양념
422,6000095619,토마토/로제소스
423,6000095620,크림소스
424,6000095621,오일소스
425,6000095622,페스토
426,6000095634,케찹
427,6000095635,마요네즈
428,6000095636,머스타드/겨자소스
429,6000095637,칠리/살사소스
430,6000095638,기타 디핑소스
431,6000095649,돈까스소스
432,6000095650,스테이크/바베큐소스
433,6000095664,굴소스/중식소스
434,6000095665,쯔유/일식소스
435,6000095666,피쉬소스/동남아소스
436,6000140205,기타소스
437,6000095679,유자/키위/과일드레싱
438,6000095680,발사믹/오일드레싱
439,6000095681,시저/아일랜드/마요네즈류
440,6000095682,참깨/견과드레싱
441,6000095694,밀가루
442,6000095695,부침가루
443,6000095696,튀김가루
444,6000095697,빵가루
445,6000095698,찹쌀가루/전분/기타가루
446,6000095709,소금
447,6000095710,허브솔트
448,6000095711,설탕
449,6000095712,참깨/들깨
450,6000095713,후추
451,6000095714,와사비/고추냉이
452,6000095715,파슬리/기타향신료
453,6000095724,분말/액상조미료
454,6000095725,다시팩/육수
455,6000095726,액젓
456,6000095727,올리고당/요리당/물엿/조청
457,6000095728,식초
458,6000095729,미림/맛술
459,6000095754,참기름
460,6000095755,들기름
461,6000095756,콩기름/옥수수유
462,6000095757,올리브유
463,6000095758,카놀라유/포도씨유/기타식용유
464,6000095759,트러플오일/기타향미유
465,6000095599,조미료/오일 선물세트
466,6000095769,초코/메이플시럽
467,6000095770,전/부침개믹스
468,6000095771,호떡믹스
469,6000095772,핫케익/와플/빵믹스
470,6000095773,쿠키/초콜릿믹스
471,6000095774,이스트/기타 제빵재료
472,6000095934,일반과자
473,6000095935,쿠키/비스킷
474,6000095936,크래커
475,6000095938,샌드/웨하스
476,6000095939,스틱과자/빼빼로
477,6000095941,파이/케익
478,6000095955,과자 선물세트
479,6000096024,떡
480,6000096025,약과
481,6000096026,한과
482,6000096027,화과자/만쥬/월병
483,6000096028,양갱
484,6000096029,기타 전통과자
485,6000096030,떡/한과 선물세트
486,6000096039,누룽지/원물간식
487,6000096040,간식소시지
488,6000096041,김스낵/부각/튀각
489,6000096042,어포/안주용스낵
490,6000096043,기타 스낵
491,6000096054,하드캔디
492,6000096055,캬라멜/소프트캔디
493,6000096056,엿/달고나
494,6000096057,껌
495,6000096058,사탕 선물세트
496,6000096069,젤리
497,6000096070,컵젤리/푸딩
498,6000096071,워터/곤약젤리
499,6000096084,초콜릿
500,6000096085,초코바
501,6000096086,초콜릿 선물세트
502,6000096099,후레이크
503,6000096100,그래놀라/뮤즐리
504,6000096101,시리얼바
505,6000096114,컵아이스크림
506,6000096115,콘아이스크림
507,6000096116,막대아이스크림
508,6000096117,샌드/튜브/기타
509,6000096129,얼음
510,6000096130,팥/단팥
511,6000096131,토핑/기타재료
512,6000096609,뜨레 또 (갓 구운빵)
513,6000096610,식빵
514,6000096611,베이커리빵
515,6000096612,쿠키/디저트/케이크
516,6000096613,샌드위치
517,6000096614,샐러드
518,6000096615,일반빵
519,6000096616,호빵/찐빵
520,6000096618,생지/냉동반죽
521,6000096654,과일잼
522,6000096655,초코/땅콩/기타스프레드
523,6000096685,홍삼액/홍삼즙
524,6000096686,홍삼환/분말
525,6000096687,홍삼캔디/젤리
526,6000096688,홍삼절편
527,6000096689,홍삼세트
528,6000096690,녹용
529,6000096691,어린이 홍삼/녹용
530,6000096692,기타 홍삼
531,6000096693,인삼/수삼
532,6000096670,건강즙/건강액
533,6000096716,건강분말
534,6000096717,건강환
535,6000096762,건강재료
536,6000096763,한차/건강차
537,6000096853,꿀
538,6000096854,로얄젤리
539,6000096855,벌화분
540,6000096856,프로폴리스
541,6000096869,멀티비타민
542,6000096870,비타민 A
543,6000096871,비타민 B
544,6000096872,비타민 C
545,6000096873,비타민 D
546,6000096874,기타 비타민
547,6000096675,유산균
548,6000096885,칼슘
549,6000096886,마그네슘
550,6000096887,아연
551,6000096888,철분
552,6000096890,엽산
553,6000096891,셀레늄
554,6000096892,멀티/기타미네랄
555,6000096901,루테인
556,6000096902,오메가
557,6000096903,감마리놀렌산
558,6000096904,크릴오일
559,6000096905,코엔자임
560,6000096906,밀크씨슬
561,6000096907,클로렐라
562,6000096908,스피루리나
563,6000096909,글루코사민
564,6000096910,홍합오일
565,6000096911,MSM 식이유황
566,6000096912,초유
567,6000096913,폴리코사놀
568,6000096914,키토산
569,6000096915,쏘팔메토
570,6000096916,기타 건강기능식품
571,6000096917,체지방감소도움/CLA
572,6000096918,지방억제도움/HCA
573,6000096919,뷰티푸드/콜라겐
574,6000096920,기타 뷰티식품
575,6000096933,프로틴
576,6000096934,아미노산
577,6000096935,기타 헬스보조제
578,6000096949,영양식/선식
579,6000096950,기타 건강식품
580,6000096965,면역력
581,6000096966,눈건강
582,6000096967,장건강
583,6000096968,간건강
584,6000096969,관절건강
585,6000096970,혈행개선
586,6000096971,항산화
587,6000096972,헬스/뷰티
588,6000097026,남성
589,6000097027,여성
590,6000097029,어린이
591,6000097030,청소년
592,6000097032,임산부
593,6000097046,시니어
594,6000097841,과일
595,6000097842,채소
596,6000097856,정육
597,6000097871,쌀/잡곡
598,6000097872,견과
599,6000097886,수산물
600,6000097887,건해산물
601,6000097901,우유/유제품
602,6000097902,분유/유아식
603,6000097916,냉장 간편식
604,6000097917,냉동 간편식
605,6000097931,장류/양념/소스
606,6000097932,조미료/분말
607,6000097933,오일
608,6000097946,라면/즉석식품
609,6000097947,통조림/잼
610,6000097961,음료
611,6000097962,커피/차
612,6000097976,과자/스낵
613,6000097977,시리얼/대용식
614,6000097991,건강식품
615,6000097992,건강즙
616,6000097837,유기농/친환경 선물세트
617,6000024088,재생펄프화장지
618,6000024089,천연펄프화장지
619,6000024090,점보롤
620,6000024070,미용티슈/물티슈
621,6000024093,일반 키친타올
622,6000024094,조리용 키친타올
623,6000024095,빨아쓰는 키친타올
624,6000024100,여성청결제
625,6000024103,전동칫솔/칫솔모
626,6000024104,치실/치간칫솔
627,6000024105,구강청결제
628,6000024106,치위생용품
629,6000024107,틀니세정제
630,6000024108,면도기/날
631,6000024109,여성면도기
632,6000024110,일회용면도기
633,6000024111,면도크림/젤
634,6000024112,구급/응급용품
635,6000024113,붕대/밴드
636,6000024114,성인
637,6000024115,마스크
638,6000024116,렌즈세정제/케이스
639,6000089218,리빙 해외직구
640,6000034464,세탁세제/섬유유연제
641,6000034465,주방세제/주거세제
642,6000024119,캡슐/시트세제
643,6000024121,일반섬유유연제
644,6000024122,프리미엄섬유유연제
645,6000024123,향기부스터
646,6000024124,표백제
647,6000024077,주방세제/주거세정제
648,6000024128,제습제
649,6000024130,방향제
650,6000024079,세탁용품
651,6000024080,청소용품
652,6000026143,욕실인테리어/시공
653,6000024142,욕실화
654,6000024145,변기커버/시트
655,6000019940,헤어케어
656,6000019941,바디케어
657,6000020664,화장품
658,0006510163,트리트먼트/에센스/헤어팩
659,0006510164,두피케어
660,0006510166,왁스/포마드
661,0006510167,젤/무스/스프레이
662,0006510168,헤어 염색약/흑채
663,0006510169,바디로션/크림/오일/바디미스트
664,6000025800,스킨/토너
665,6000025801,로션/에멀젼
666,6000025790,스킨케어세트
667,6000025791,미스트
668,0006510181,폼 클렌징
669,0006510182,클렌징 오일/워터
670,0006510183,클렌징 크림/로션
671,0006510184,클렌징 티슈/비누
672,0006510185,립/아이 리무버
673,0006510186,선크림
674,0006510187,선로션
675,0006510188,선밤/선파우더/선스프레이
676,0006510190,스킨케어 세트
677,0006510191,클렌징
678,0006510192,남성 메이크업
679,0006510194,마스크/팩
680,0006510158,메이크업
681,0006510200,화장솜/퍼프
682,0006510201,뷰러/속눈썹
683,0006510202,거울
684,0006513390,헤어 악세서리
685,6000020666,헤어빗/브러쉬
686,0006629004,화장잡화
687,6000025808,메이크업 브러쉬
688,6000025809,파우치
689,0006510204,여성용
690,0006510205,남성용
691,0006510206,남녀 공용
692,6000025806,향수세트
693,6000089219,뷰티 해외직구
694,6000019943,조리도구/용품
695,6000019944,식기/자기/보관용기/텀블러
696,6000019945,일회용품/수세미/행주
697,6000014787,주방용품/인테리어
698,0006510320,식기/생활자기
699,0006510321,보관/밀폐용기
700,0006510323,냄비/압력솥
701,0006510324,프라이팬/주전자
702,0006510325,조리보조도구
703,0006510326,일회용품/ 주방소모품
704,6000026399,핸드카트/장바구니
705,6000025451,제수용품
706,6000011316,JAJU 가구수납
707,6000011346,JAJU 뷰티아로마
708,6000011348,JAJU 욕실
709,6000011349,JAJU 조리
710,6000011350,JAJU 주방
711,6000011351,JAJU 침장
712,6000011352,JAJU 키즈생활용품
713,6000011353,JAJU 트래블
714,6000011354,JAJU 홈데코
715,6000011411,JAJU 남성의류
716,6000000532,JAJU 언더웨어
717,6000011412,JAJU 라운지웨어
718,6000011413,JAJU 스카프/머플러/모자/장갑
719,6000011415,JAJU 키즈패션
720,6000014407,JAJU 여성의류
721,6000014408,JAJU 양말
722,6000014409,JAJU 신발/가방
723,6000019947,거실/침실가구
724,6000019948,주방가구/소가구
725,6000019949,침장/커튼
726,6000020177,수납용품(Storage)
727,6000019950,데코/인테리어소품
728,0006510566,선반
729,0006510556,침구/이불/충전재
730,0006510625,카페트
731,0006510626,러그
732,0006510627,발매트/보온/쿨매트
733,6000025359,거실화
734,6000062771,쇼파패드
735,6000025356,쿠션
736,6000038839,쿠션커버 
737,6000025357,목쿠션/바디필로우
738,6000042255,뜨개질/십자수
739,6000025363,기타 패브릭 소품
740,6000024082,인테리어소품
741,0006510553,침실/거실가구
742,0006510554,유아/학생/사무용 가구
743,0006510596,인테리어 소품
744,6000016650,제기용품
745,6000016651,병풍
746,0006512386,AA 일회용 건전지
747,0006512387,AAA 일회용 건전지
748,0006512388,충전용건전지/충전기
749,0006512389,코인건전지/랜턴용
750,0006512390,니켈/리튬/C/D/9V
751,0006512394,LED 전구
752,0006512399,욕실/주방조명
753,0006512400,현관/베란다
754,0006512402,정원/야외조명
755,6000024158,포인트벽지
756,6000024157,합지/실크벽지
757,6000024159,도배용품
758,6000024161,포인트스티커
759,6000024162,스위치커버/스티커
760,6000024163,홈데코소품
761,6000024164,바닥재
762,0006512385,선반부품
763,6000025332,거실용커튼
764,6000025333,창문용커튼
765,6000025334,속커튼/레이스커튼
766,6000025335,암막커튼
767,6000025336,주방커튼
768,6000043067,기저귀-피노
769,6000025403,기저귀-킨도
770,0006510802,순면 기저귀
771,0006510806,기저귀 가방
772,0006510807,아기 물티슈-하기스
773,0006510809,아기 물티슈-순둥이/보솜이
774,0006648678,아기 물티슈-물따로
775,6000030564,아기물티슈-밤보
776,6000001115,아기 물티슈-네츄럴오가닉
777,6000033121,아기물티슈-앙블랑
778,6000144863,기저귀-페넬로페
779,6000025405,아기 물티슈-이마트/노브랜드
780,0006510776,목욕/세제/위생용품
781,0006510777,수유/이유용품
782,0006510778,임부용품/유아동/임부스킨케어
783,0006510779,카시트/유모차/아기띠
784,0006510780,유아동의류
785,0006510781,유아동신발/가방/잡화
786,0006510782,놀이방매트/안전용품/가구/침구
787,0006510783,신생/유아완구
788,0006510874,언어/숫자완구
789,0006510875,미끄럼틀/그네 대형완구
790,0006510876,로봇/트럭 작동완구
791,0006510877,역할놀이세트
792,0006510878,음악/악기완구
793,0006510879,자전거/승용완구
794,0006510880,봉제인형
795,0006622149,로보트
796,0006622150,남아장난감
797,0006622151,TV캐릭터완구
798,0006510872,스포츠완구
799,0006510883,일반블럭
800,0006510884,원목블럭
801,0006510885,조립완구
802,0006510890,RC/무선조정완구
803,0006510891,프라모델/피규어
804,0006513410,놀이완구
805,6000014368,언더웨어
806,6000014365,여성의류
807,6000014366,남성의류
808,6000014367,캐주얼/유니섹스의류
809,6000013961,양말/스타킹/레깅스
810,6000013962,핸드백/가방/지갑
811,6000013966,패션액세서리/시즌잡화
812,6000013971,패션슈즈
813,6000013963,시계/주얼리/금
814,6000013974,수입명품
815,6000019966,헬스/요가/스포츠용품
816,6000019967,등산/캠핑용품
817,0006512415,스노우체인/가드
818,6000024200,공기청정/에어컨필터
819,0006513453,세차도구
820,0006513455,스폰지/티슈/융
821,0006512404,와이퍼/워셔액
822,6000024217,자동차용방향제
823,0006513454,카왁스
824,0006513456,보수용품
825,6000033354,케이블/충전기
826,6000035163,안전벨트/벨트클립
827,6000033360,거치대
828,6000024198,카시트/방석/햇빛가리개
829,0006512408,카매트
830,0006512410,핸들용품
831,6000024207,정리함/포켓/홀더
832,6000024205,주차알림판/번호판
833,0006512413,미러
834,6000035161,도어가드
835,0006512406,카캐리어
836,0006512409,카쿠션
837,0006512417,삼각대/비상용품/점프선
838,6000024215,승용차 타이어
839,6000024216,SUV/RV 타이어
840,6000061506,블랙박스
841,0006511458,스포츠 슈즈
842,0006511457,스포츠 패션
843,6000080236,E-Sports
844,0006626020,유틸/하이브리드
845,0006511461,골프의류/잡화
846,0006511462,등산복/등산화/용품
847,0006511463,캠핑/오토캠핑/낚시
848,0006511464,자전거/인라인
849,0006511465,스키/스노우보드
850,0006511530,워터 테마파크 시즌권
851,6000089646,항공권 가격비교
852,6000142058,호텔 가격비교
853,6000018123,커피/음료/아이스크림
854,6000018219,도넛/베이커리
855,6000018220,패스트푸드/피자
856,6000018221,편의점/레스토랑
857,6000018222,영화/모바일/생활
858,6000018223,이마트/피코크/건강
859,6000018224,차량정비/주유권
860,6000020779,외식권/상품권
861,6000021009,꽃배달
862,6000031160,데이터쿠폰
863,6000031311,SK텔레콤 전용관
864,6000033118,공연/전시/티켓
865,6000034551,교육/화상영어
866,6000042820,가전/홈케어
867,6000071627,교복대여
868,6000060728,오토바이/스쿠터
869,6000017694,Mac 
870,6000017855,Mac 액세서리 
871,6000017862,iPad 
872,6000026953,iPad 액세서리
873,6000026966,Watch
874,6000026967,Watch 액세서리
875,6000026968,iPod
876,6000026969,iPod 액세서리 
877,6000026970,iPhone 액세서리
878,6000026971,충전&케이블
879,6000026973,음향기기
880,6000088312,게이밍 마우스
881,6000088314,게이밍 키보드
882,6000088315,게이밍 헤드셋
883,6000087840,게이밍 의자
884,0006511795,스마트패드/ 2in1 PC
885,6000003019,문서 세단기
886,0006511784,카메라/캠코더/소품
887,0006511785,내비/하이패스/블랙박스
888,0006511786,게임기/MP3/오디오
889,0006511787,휴대폰/스마트폰/악세서리
890,0006511788,냉/난방 계절가전
891,0006511858,세탁소품
892,6000088852,업소용가전
893,0006511790,주방가전/렌지/밥솥
894,0006511872,대용량/업소용청소기
895,0006647378,고압세척기
896,0006511792,건강가전/용품/의료기기
897,6000071618,정수기/이온수기
898,6000071620,공기청정기/제습기
899,6000071621,비데
900,6000071624,생활가전
901,6000071622,안마의자
902,6000071623,침대/매트리스
903,6000071626,기타
904,6000079863,생활서비스
905,6000019953,문구/사무용품
906,6000020027,조명/공구
907,6000019954,애완/애묘용품
908,6000019955,가드닝용품
909,6000019956,자동차용품
910,6000019957,완구
911,6000024218,반려견 사료
912,6000080194,반려동물서비스
913,0006512286,오피스용품/복사용지
914,6000032093,피규어
915,6000088025,슬라임
916,0006512343,필기세트
917,0006512332,디자인 캐릭터노트
918,0006512334,연습장
919,6000088159,사인펜
920,0006512319,학용품세트
921,0006513437,점토류/클레이/글라스아트
922,0006513436,스티커
923,0006513434,디자인팬시
924,0006513435,앨범
925,6000088148,기타문구용품
926,6000026106,유아 서적
927,6000026107,아동 서적
928,6000026145,아동 서적 세트
929,6000026146,청소년 서적
930,6000026108,일반 서적
931,6000026109,아동 학습서
932,6000026110,초등 학습서
933,6000026111,중등 학습서
934,6000026112,고등 학습서
935,6000027106,전공도서/자격서/수험서/컴퓨터
936,6000027107,외국도서
937,6000027108,음반
938,0006512344,수채화용품
939,0006512345,아크릴용품
940,0006512346,포스터칼라/컬러리스트
941,0006512347,유화용품
942,0006512348,파스텔용품
943,0006512349,구성/디자인용품
944,0006512350,캔버스/이젤/판넬
945,0006512351,붓/색연필/나이프
946,0006512352,스케치/드로잉용품
947,0006512353,서예/동양화재료
948,0006512354,조소/판화
949,6000014839,공예
950,0006630073,애니메이션/네일아트/향
